epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,684.877,0.79161,0.6655,1.11275,0.91293,0.91011,0.94022,0.73276,0.82253,0.57329,1.05335,0.00165689,0.00165689,0.00165689
43,698.741,0.73823,0.63104,1.07005,0.92142,0.92229,0.94813,0.7425,0.78756,0.5483,1.05739,0.00164105,0.00164105,0.00164105
44,712.766,0.77381,0.6243,1.09192,0.92073,0.81461,0.90502,0.69394,0.81169,0.69594,1.06041,0.00162494,0.00162494,0.00162494
45,726.68,0.74725,0.63958,1.07347,0.87103,0.78652,0.86866,0.66399,0.8601,0.84623,1.1076,0.00160855,0.00160855,0.00160855
46,740.598,0.7387,0.60063,1.07351,0.89601,0.85955,0.90117,0.6751,0.87846,0.66693,1.16041,0.00159191,0.00159191,0.00159191
47,754.461,0.73211,0.64342,1.07035,0.92539,0.89888,0.94683,0.74246,0.79899,0.58351,1.05676,0.00157501,0.00157501,0.00157501
48,768.43,0.70582,0.59835,1.05992,0.90135,0.86517,0.92995,0.71481,0.78786,0.62568,1.05567,0.00155786,0.00155786,0.00155786
49,782.388,0.72824,0.58345,1.06759,0.91404,0.93258,0.9561,0.74446,0.74801,0.54356,1.03115,0.00154047,0.00154047,0.00154047
50,796.389,0.72931,0.59783,1.06831,0.90064,0.91011,0.93211,0.73556,0.7673,0.56944,1.03875,0.00152285,0.00152285,0.00152285
51,810.516,0.7178,0.57822,1.07289,0.89201,0.9382,0.95757,0.78181,0.68027,0.54616,0.96974,0.001505,0.001505,0.001505
52,824.621,0.7104,0.59757,1.05679,0.93606,0.90472,0.94915,0.73626,0.78772,0.5232,1.04571,0.00148694,0.00148694,0.00148694
53,838.553,0.69929,0.55859,1.0491,0.93428,0.8764,0.94735,0.72549,0.83435,0.59231,1.06184,0.00146866,0.00146866,0.00146866
54,852.475,0.71985,0.55763,1.07493,0.90738,0.92697,0.9473,0.73259,0.78208,0.55868,1.05577,0.00145019,0.00145019,0.00145019
55,866.448,0.66748,0.54984,1.05097,0.93437,0.90449,0.96004,0.73932,0.83077,0.52618,1.06396,0.00143152,0.00143152,0.00143152
56,880.434,0.683,0.57457,1.05789,0.92943,0.94944,0.96206,0.76099,0.7252,0.47859,1.01372,0.00141267,0.00141267,0.00141267
57,894.37,0.65436,0.53678,1.03153,0.94461,0.92697,0.95159,0.75236,0.72643,0.48803,1.02488,0.00139364,0.00139364,0.00139364
58,908.364,0.65825,0.54975,1.02658,0.9354,0.94382,0.95822,0.75975,0.70613,0.50324,0.97289,0.00137444,0.00137444,0.00137444
59,922.326,0.69556,0.54868,1.04605,0.92563,0.90902,0.94337,0.73214,0.78514,0.56892,1.05496,0.00135509,0.00135509,0.00135509
60,936.238,0.66297,0.52583,1.03167,0.91642,0.93258,0.96862,0.77722,0.72163,0.50809,1.02132,0.00133558,0.00133558,0.00133558
61,950.234,0.6557,0.53208,1.04592,0.93247,0.93085,0.95439,0.74814,0.73975,0.49958,1.02492,0.00131593,0.00131593,0.00131593
62,964.111,0.66613,0.54358,1.03174,0.93813,0.937,0.96557,0.78035,0.71276,0.46933,1.01795,0.00129614,0.00129614,0.00129614
63,977.992,0.64651,0.52351,1.03311,0.93977,0.89326,0.95684,0.76898,0.75769,0.52724,1.03623,0.00127623,0.00127623,0.00127623
64,991.939,0.64549,0.52494,1.03509,0.94275,0.92512,0.96273,0.76934,0.73148,0.53431,0.99847,0.0012562,0.0012562,0.0012562
65,1005.91,0.59889,0.4851,1.00665,0.93206,0.92494,0.95667,0.78278,0.73642,0.54021,1.01162,0.00123607,0.00123607,0.00123607
66,1019.93,0.62112,0.49628,1.01572,0.93448,0.95506,0.95187,0.77736,0.75058,0.53862,1.03647,0.00121583,0.00121583,0.00121583
67,1033.89,0.6329,0.51251,1.01243,0.92557,0.90819,0.94935,0.7626,0.74325,0.53182,1.01199,0.00119551,0.00119551,0.00119551
68,1047.79,0.62473,0.50202,1.02211,0.9487,0.93511,0.95678,0.78079,0.68866,0.45985,1.00667,0.0011751,0.0011751,0.0011751
69,1061.65,0.62426,0.50774,1.03128,0.96044,0.95485,0.95998,0.78556,0.69223,0.44459,1.01064,0.00115462,0.00115462,0.00115462
70,1075.87,0.59626,0.47666,1.00506,0.95293,0.9382,0.96795,0.7902,0.7144,0.44362,1.03361,0.00113408,0.00113408,0.00113408
71,1089.83,0.60746,0.47889,1.01294,0.94737,0.91007,0.94253,0.73748,0.81967,0.52047,1.11071,0.00111348,0.00111348,0.00111348
72,1103.94,0.60236,0.48752,1.00108,0.94771,0.92135,0.94104,0.73704,0.81722,0.51949,1.11695,0.00109284,0.00109284,0.00109284
73,1117.9,0.60444,0.50717,1.01684,0.92683,0.92512,0.95417,0.7831,0.71626,0.55954,1.00668,0.00107216,0.00107216,0.00107216
74,1131.83,0.5882,0.47571,0.99294,0.93803,0.93536,0.95766,0.76882,0.75796,0.49002,1.04351,0.00105146,0.00105146,0.00105146
75,1145.92,0.60268,0.49937,0.99518,0.97059,0.91573,0.95358,0.7713,0.71457,0.48388,1.03378,0.00103073,0.00103073,0.00103073
76,1159.85,0.58971,0.48229,1.00436,0.94758,0.91393,0.95572,0.73014,0.80529,0.53044,1.10521,0.00101,0.00101,0.00101
